#,id,OriginalName,Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary
298,/298,azurill,azurill,Normal,Fairy,190,50,20,40,20,40,20,3,FALSE
299,/299,nosepass,nosepass,Rock,,375,30,45,135,45,90,30,3,FALSE
300,/300,skitty,skitty,Normal,,260,50,45,45,35,35,50,3,FALSE
301,/301,delcatty,delcatty,Normal,,380,70,65,65,55,55,70,3,FALSE
302,/302,sableye,sableye,Dark,Ghost,380,50,75,75,65,65,50,3,FALSE
302,/302_1,sableyemega sableye,sableye-mega,Dark,Ghost,480,50,85,125,85,115,20,3,FALSE
303,/303,mawile,mawile,Steel,Fairy,380,50,85,85,55,55,50,3,FALSE
303,/303_1,mawilemega mawile,mawile-mega,Steel,Fairy,480,50,105,125,55,95,50,3,FALSE
304,/304,aron,aron,Steel,Rock,330,50,70,100,40,40,30,3,FALSE
305,/305,lairon,lairon,Steel,Rock,430,60,90,140,50,50,40,3,FALSE
306,/306,aggron,aggron,Steel,Rock,530,70,110,180,60,60,50,3,FALSE
306,/306_1,aggronmega aggron,aggron-mega,Steel,,630,70,140,230,60,80,50,3,FALSE
307,/307,meditite,meditite,Fighting,Psychic,280,30,40,55,40,55,60,3,FALSE
308,/308,medicham,medicham,Fighting,Psychic,410,60,60,75,60,75,80,3,FALSE
308,/308_1,medichammega medicham,medicham-mega,Fighting,Psychic,510,60,100,85,80,85,100,3,FALSE
309,/309,electrike,electrike,Electric,,295,40,45,40,65,40,65,3,FALSE
310,/310,manectric,manectric,Electric,,475,70,75,60,105,60,105,3,FALSE
310,/310_1,manectricmega manectric,manectric-mega,Electric,,575,70,75,80,135,80,135,3,FALSE
311,/311,plusle,plusle,Electric,,405,60,50,40,85,75,95,3,FALSE
312,/312,minun,minun,Electric,,405,60,40,50,75,85,95,3,FALSE
313,/313,volbeat,volbeat,Bug,,400,65,73,55,47,75,85,3,FALSE
314,/314,illumise,illumise,Bug,,400,65,47,55,73,75,85,3,FALSE
315,/315,roselia,roselia,Grass,Poison,400,50,60,45,100,80,65,3,FALSE
316,/316,gulpin,gulpin,Poison,,302,70,43,53,43,53,40,3,FALSE
317,/317,swalot,swalot,Poison,,467,100,73,83,73,83,55,3,FALSE
318,/318,carvanha,carvanha,Water,Dark,305,45,90,20,65,20,65,3,FALSE
319,/319,sharpedo,sharpedo,Water,Dark,460,70,120,40,95,40,95,3,FALSE
319,/319_1,sharpedomega sharpedo,sharpedo-mega,Water,Dark,560,70,140,70,110,65,105,3,FALSE
320,/320,wailmer,wailmer,Water,,400,130,70,35,70,35,60,3,FALSE
321,/321,wailord,wailord,Water,,500,170,90,45,90,45,60,3,FALSE
322,/322,numel,numel,Fire,Ground,305,60,60,40,65,45,35,3,FALSE
323,/323,camerupt,camerupt,Fire,Ground,460,70,100,70,105,75,40,3,FALSE
323,/323_1,cameruptmega camerupt,camerupt-mega,Fire,Ground,560,70,120,100,145,105,20,3,FALSE
324,/324,torkoal,torkoal,Fire,,470,70,85,140,85,70,20,3,FALSE
325,/325,spoink,spoink,Psychic,,330,60,25,35,70,80,60,3,FALSE
326,/326,grumpig,grumpig,Psychic,,470,80,45,65,90,110,80,3,FALSE
327,/327,spinda,spinda,Normal,,360,60,60,60,60,60,60,3,FALSE
328,/328,trapinch,trapinch,Ground,,290,45,100,45,45,45,10,3,FALSE
329,/329,vibrava,vibrava,Ground,Dragon,340,50,70,50,50,50,70,3,FALSE
330,/330,flygon,flygon,Ground,Dragon,520,80,100,80,80,80,100,3,FALSE
331,/331,cacnea,cacnea,Grass,,335,50,85,40,85,40,35,3,FALSE
332,/332,cacturne,cacturne,Grass,Dark,475,70,115,60,115,60,55,3,FALSE
333,/333,swablu,swablu,Normal,Flying,310,45,40,60,40,75,50,3,FALSE
334,/334,altaria,altaria,Dragon,Flying,490,75,70,90,70,105,80,3,FALSE
334,/334_1,altariamega altaria,altaria-mega,Dragon,Fairy,590,75,110,110,110,105,80,3,FALSE
335,/335,zangoose,zangoose,Normal,,458,73,115,60,60,60,90,3,FALSE
336,/336,seviper,seviper,Poison,,458,73,100,60,100,60,65,3,FALSE
337,/337,lunatone,lunatone,Rock,Psychic,440,70,55,65,95,85,70,3,FALSE
338,/338,solrock,solrock,Rock,Psychic,440,70,95,85,55,65,70,3,FALSE
339,/339,barboach,barboach,Water,Ground,288,50,48,43,46,41,60,3,FALSE
340,/340,whiscash,whiscash,Water,Ground,468,110,78,73,76,71,60,3,FALSE
341,/341,corphish,corphish,Water,,308,43,80,65,50,35,35,3,FALSE
342,/342,crawdaunt,crawdaunt,Water,Dark,468,63,120,85,90,55,55,3,FALSE
343,/343,baltoy,baltoy,Ground,Psychic,300,40,40,55,40,70,55,3,FALSE
344,/344,claydol,claydol,Ground,Psychic,500,60,70,105,70,120,75,3,FALSE
345,/345,lileep,lileep,Rock,Grass,355,66,41,77,61,87,23,3,FALSE
346,/346,cradily,cradily,Rock,Grass,495,86,81,97,81,107,43,3,FALSE
347,/347,anorith,anorith,Rock,Bug,355,45,95,50,40,50,75,3,FALSE
348,/348,armaldo,armaldo,Rock,Bug,495,75,125,100,70,80,45,3,FALSE
349,/349,feebas,feebas,Water,,200,20,15,20,10,55,80,3,FALSE
350,/350,milotic,milotic,Water,,540,95,60,79,100,125,81,3,FALSE
351,/351,castform,castform,Normal,,420,70,70,70,70,70,70,3,FALSE
352,/352,kecleon,kecleon,Normal,,440,60,90,70,60,120,40,3,FALSE
353,/353,shuppet,shuppet,Ghost,,295,44,75,35,63,33,45,3,FALSE
354,/354,banette,banette,Ghost,,455,64,115,65,83,63,65,3,FALSE
354,/354_1,banettemega banette,banette-mega,Ghost,,555,64,165,75,93,83,75,3,FALSE
355,/355,duskull,duskull,Ghost,,295,20,40,90,30,90,25,3,FALSE
356,/356,dusclops,dusclops,Ghost,,455,40,70,130,60,130,25,3,FALSE
357,/357,tropius,tropius,Grass,Flying,460,99,68,83,72,87,51,3,FALSE
358,/358,chimecho,chimecho,Psychic,,425,65,50,70,95,80,65,3,FALSE
359,/359,absol,absol,Dark,,465,65,130,60,75,60,75,3,FALSE
359,/359_1,absolmega absol,absol-mega,Dark,,565,65,150,60,115,60,115,3,FALSE
360,/360,wynaut,wynaut,Psychic,,260,95,23,48,23,48,23,3,FALSE
361,/361,snorunt,snorunt,Ice,,300,50,50,50,50,50,50,3,FALSE
362,/362,glalie,glalie,Ice,,480,80,80,80,80,80,80,3,FALSE
362,/362_1,glaliemega glalie,glalie-mega,Ice,,580,80,120,80,120,80,100,3,FALSE
363,/363,spheal,spheal,Ice,Water,290,70,40,50,55,50,25,3,FALSE
364,/364,sealeo,sealeo,Ice,Water,410,90,60,70,75,70,45,3,FALSE
365,/365,walrein,walrein,Ice,Water,530,110,80,90,95,90,65,3,FALSE
366,/366,clamperl,clamperl,Water,,345,35,64,85,74,55,32,3,FALSE
367,/367,huntail,huntail,Water,,485,55,104,105,94,75,52,3,FALSE
368,/368,gorebyss,gorebyss,Water,,485,55,84,105,114,75,52,3,FALSE
369,/369,relicanth,relicanth,Water,Rock,485,100,90,130,45,65,55,3,FALSE
370,/370,luvdisc,luvdisc,Water,,330,43,30,55,40,65,97,3,FALSE
371,/371,bagon,bagon,Dragon,,300,45,75,60,40,30,50,3,FALSE
372,/372,shelgon,shelgon,Dragon,,420,65,95,100,60,50,50,3,FALSE
373,/373,salamence,salamence,Dragon,Flying,600,95,135,80,110,80,100,3,FALSE
373,/373_1,salamencemega salamence,salamence-mega,Dragon,Flying,700,95,145,130,120,90,120,3,FALSE
374,/374,beldum,beldum,Steel,Psychic,300,40,55,80,35,60,30,3,FALSE
375,/375,metang,metang,Steel,Psychic,420,60,75,100,55,80,50,3,FALSE
376,/376,metagross,metagross,Steel,Psychic,600,80,135,130,95,90,70,3,FALSE
376,/376_1,metagrossmega metagross,metagross-mega,Steel,Psychic,700,80,145,150,105,110,110,3,FALSE
377,/377,regirock,regirock,Rock,,580,80,100,200,50,100,50,3,TRUE
378,/378,regice,regice,Ice,,580,80,50,100,100,200,50,3,TRUE
379,/379,registeel,registeel,Steel,,580,80,75,150,75,150,50,3,TRUE
380,/380,latias,latias,Dragon,Psychic,600,80,80,90,110,130,110,3,TRUE
380,/380_1,latiasmega latias,latias-mega,Dragon,Psychic,700,80,100,120,140,150,110,3,TRUE
381,/381,latios,latios,Dragon,Psychic,600,80,90,80,130,110,110,3,TRUE
381,/381_1,latiosmega latios,latios-mega,Dragon,Psychic,700,80,130,100,160,120,110,3,TRUE
382,/382,kyogre,kyogre,Water,,670,100,100,90,150,140,90,3,TRUE
382,/382_1,kyogreprimal kyogre,kyogre-primal,Water,,770,100,150,90,180,160,90,3,TRUE
383,/383,groudon,groudon,Ground,,670,100,150,140,100,90,90,3,TRUE
383,/383_1,groudonprimal groudon,groudon-primal,Ground,Fire,770,100,180,160,150,90,90,3,TRUE
384,/384,rayquaza,rayquaza,Dragon,Flying,680,105,150,90,150,90,95,3,TRUE
384,/384_1,rayquazamega rayquaza,rayquaza-mega,Dragon,Flying,780,105,180,100,180,100,115,3,TRUE
385,/385,jirachi,jirachi,Steel,Psychic,600,100,100,100,100,100,100,3,TRUE
386,/386,deoxysnormal forme,deoxys-normal,Psychic,,600,50,150,50,150,50,150,3,TRUE
386,/386_1,deoxysattack forme,deoxys-attack,Psychic,,600,50,180,20,180,20,150,3,TRUE
386,/386_2,deoxysdefense forme,deoxys-defense,Psychic,,600,50,70,160,70,160,90,3,TRUE
386,/386_3,deoxysspeed forme,deoxys-speed,Psychic,,600,50,95,90,95,90,180,3,TRUE
387,/387,turtwig,turtwig,Grass,,318,55,68,64,45,55,31,4,FALSE
388,/388,grotle,grotle,Grass,,405,75,89,85,55,65,36,4,FALSE
389,/389,torterra,torterra,Grass,Ground,525,95,109,105,75,85,56,4,FALSE
390,/390,chimchar,chimchar,Fire,,309,44,58,44,58,44,61,4,FALSE
391,/391,monferno,monferno,Fire,Fighting,405,64,78,52,78,52,81,4,FALSE
392,/392,infernape,infernape,Fire,Fighting,534,76,104,71,104,71,108,4,FALSE
393,/393,piplup,piplup,Water,,314,53,51,53,61,56,40,4,FALSE
394,/394,prinplup,prinplup,Water,,405,64,66,68,81,76,50,4,FALSE
395,/395,empoleon,empoleon,Water,Steel,530,84,86,88,111,101,60,4,FALSE
396,/396,starly,starly,Normal,Flying,245,40,55,30,30,30,60,4,FALSE
397,/397,staravia,staravia,Normal,Flying,340,55,75,50,40,40,80,4,FALSE
398,/398,staraptor,staraptor,Normal,Flying,485,85,120,70,50,60,100,4,FALSE
399,/399,bidoof,bidoof,Normal,,250,59,45,40,35,40,31,4,FALSE
400,/400,bibarel,bibarel,Normal,Water,410,79,85,60,55,60,71,4,FALSE
401,/401,kricketot,kricketot,Bug,,194,37,25,41,25,41,25,4,FALSE
402,/402,kricketune,kricketune,Bug,,384,77,85,51,55,51,65,4,FALSE
403,/403,shinx,shinx,Electric,,263,45,65,34,40,34,45,4,FALSE
404,/404,luxio,luxio,Electric,,363,60,85,49,60,49,60,4,FALSE
405,/405,luxray,luxray,Electric,,523,80,120,79,95,79,70,4,FALSE
406,/406,budew,budew,Grass,Poison,280,40,30,35,50,70,55,4,FALSE
407,/407,roserade,roserade,Grass,Poison,515,60,70,65,125,105,90,4,FALSE
408,/408,cranidos,cranidos,Rock,,350,67,125,40,30,30,58,4,FALSE
409,/409,rampardos,rampardos,Rock,,495,97,165,60,65,50,58,4,FALSE
410,/410,shieldon,shieldon,Rock,Steel,350,30,42,118,42,88,30,4,FALSE
411,/411,bastiodon,bastiodon,Rock,Steel,495,60,52,168,47,138,30,4,FALSE
412,/412,burmy,burmy,Bug,,224,40,29,45,29,45,36,4,FALSE
413,/413,wormadamplant cloak,wormadam-plant,Bug,Grass,424,60,59,85,79,105,36,4,FALSE
413,/413_1,wormadamsandy cloak,wormadam-sandy,Bug,Ground,424,60,79,105,59,85,36,4,FALSE
413,/413_2,wormadamtrash cloak,wormadam-trash,Bug,Steel,424,60,69,95,69,95,36,4,FALSE
414,/414,mothim,mothim,Bug,Flying,424,70,94,50,94,50,66,4,FALSE
415,/415,combee,combee,Bug,Flying,244,30,30,42,30,42,70,4,FALSE
416,/416,vespiquen,vespiquen,Bug,Flying,474,70,80,102,80,102,40,4,FALSE
417,/417,pachirisu,pachirisu,Electric,,405,60,45,70,45,90,95,4,FALSE
418,/418,buizel,buizel,Water,,330,55,65,35,60,30,85,4,FALSE
419,/419,floatzel,floatzel,Water,,495,85,105,55,85,50,115,4,FALSE
420,/420,cherubi,cherubi,Grass,,275,45,35,45,62,53,35,4,FALSE
421,/421,cherrim,cherrim,Grass,,450,70,60,70,87,78,85,4,FALSE
422,/422,shellos,shellos,Water,,325,76,48,48,57,62,34,4,FALSE
423,/423,gastrodon,gastrodon,Water,Ground,475,111,83,68,92,82,39,4,FALSE
424,/424,ambipom,ambipom,Normal,,482,75,100,66,60,66,115,4,FALSE
425,/425,drifloon,drifloon,Ghost,Flying,348,90,50,34,60,44,70,4,FALSE
426,/426,drifblim,drifblim,Ghost,Flying,498,150,80,44,90,54,80,4,FALSE
427,/427,buneary,buneary,Normal,,350,55,66,44,44,56,85,4,FALSE
428,/428,lopunny,lopunny,Normal,,480,65,76,84,54,96,105,4,FALSE
428,/428_1,lopunnymega lopunny,lopunny-mega,Normal,Fighting,580,65,136,94,54,96,135,4,FALSE
429,/429,mismagius,mismagius,Ghost,,495,60,60,60,105,105,105,4,FALSE
430,/430,honchkrow,honchkrow,Dark,Flying,505,100,125,52,105,52,71,4,FALSE
431,/431,glameow,glameow,Normal,,310,49,55,42,42,37,85,4,FALSE
432,/432,purugly,purugly,Normal,,452,71,82,64,64,59,112,4,FALSE
433,/433,chingling,chingling,Psychic,,285,45,30,50,65,50,45,4,FALSE
434,/434,stunky,stunky,Poison,Dark,329,63,63,47,41,41,74,4,FALSE
435,/435,skuntank,skuntank,Poison,Dark,479,103,93,67,71,61,84,4,FALSE
436,/436,bronzor,bronzor,Steel,Psychic,300,57,24,86,24,86,23,4,FALSE
437,/437,bronzong,bronzong,Steel,Psychic,500,67,89,116,79,116,33,4,FALSE
438,/438,bonsly,bonsly,Rock,,290,50,80,95,10,45,10,4,FALSE
439,/439,mime jr.,mime jr.,Psychic,Fairy,310,20,25,45,70,90,60,4,FALSE
440,/440,happiny,happiny,Normal,,220,100,5,5,15,65,30,4,FALSE
441,/441,chatot,chatot,Normal,Flying,411,76,65,45,92,42,91,4,FALSE
442,/442,spiritomb,spiritomb,Ghost,Dark,485,50,92,108,92,108,35,4,FALSE
443,/443,gible,gible,Dragon,Ground,300,58,70,45,40,45,42,4,FALSE
444,/444,gabite,gabite,Dragon,Ground,410,68,90,65,50,55,82,4,FALSE
445,/445,garchomp,garchomp,Dragon,Ground,600,108,130,95,80,85,102,4,FALSE
445,/445_1,garchompmega garchomp,garchomp-mega,Dragon,Ground,700,108,170,115,120,95,92,4,FALSE
446,/446,munchlax,munchlax,Normal,,390,135,85,40,40,85,5,4,FALSE
447,/447,riolu,riolu,Fighting,,285,40,70,40,35,40,60,4,FALSE
448,/448,lucario,lucario,Fighting,Steel,525,70,110,70,115,70,90,4,FALSE
448,/448_1,lucariomega lucario,lucario-mega,Fighting,Steel,625,70,145,88,140,70,112,4,FALSE
449,/449,hippopotas,hippopotas,Ground,,330,68,72,78,38,42,32,4,FALSE
450,/450,hippowdon,hippowdon,Ground,,525,108,112,118,68,72,47,4,FALSE
451,/451,skorupi,skorupi,Poison,Bug,330,40,50,90,30,55,65,4,FALSE
452,/452,drapion,drapion,Poison,Dark,500,70,90,110,60,75,95,4,FALSE
453,/453,croagunk,croagunk,Poison,Fighting,300,48,61,40,61,40,50,4,FALSE
454,/454,toxicroak,toxicroak,Poison,Fighting,490,83,106,65,86,65,85,4,FALSE
455,/455,carnivine,carnivine,Grass,,454,74,100,72,90,72,46,4,FALSE
456,/456,finneon,finneon,Water,,330,49,49,56,49,61,66,4,FALSE
457,/457,lumineon,lumineon,Water,,460,69,69,76,69,86,91,4,FALSE
458,/458,mantyke,mantyke,Water,Flying,345,45,20,50,60,120,50,4,FALSE
459,/459,snover,snover,Grass,Ice,334,60,62,50,62,60,40,4,FALSE
460,/460,abomasnow,abomasnow,Grass,Ice,494,90,92,75,92,85,60,4,FALSE
460,/460_1,abomasnowmega abomasnow,abomasnow-mega,Grass,Ice,594,90,132,105,132,105,30,4,FALSE
461,/461,weavile,weavile,Dark,Ice,510,70,120,65,45,85,125,4,FALSE
462,/462,magnezone,magnezone,Electric,Steel,535,70,70,115,130,90,60,4,FALSE
463,/463,lickilicky,lickilicky,Normal,,515,110,85,95,80,95,50,4,FALSE
464,/464,rhyperior,rhyperior,Ground,Rock,535,115,140,130,55,55,40,4,FALSE
465,/465,tangrowth,tangrowth,Grass,,535,100,100,125,110,50,50,4,FALSE
466,/466,electivire,electivire,Electric,,540,75,123,67,95,85,95,4,FALSE
467,/467,magmortar,magmortar,Fire,,540,75,95,67,125,95,83,4,FALSE
468,/468,togekiss,togekiss,Fairy,Flying,545,85,50,95,120,115,80,4,FALSE
469,/469,yanmega,yanmega,Bug,Flying,515,86,76,86,116,56,95,4,FALSE
470,/470,leafeon,leafeon,Grass,,525,65,110,130,60,65,95,4,FALSE
471,/471,glaceon,glaceon,Ice,,525,65,60,110,130,95,65,4,FALSE
472,/472,gliscor,gliscor,Ground,Flying,510,75,95,125,45,75,95,4,FALSE
473,/473,mamoswine,mamoswine,Ice,Ground,530,110,130,80,70,60,80,4,FALSE
474,/474,porygon-z,porygon-z,Normal,,535,85,80,70,135,75,90,4,FALSE
475,/475,gallade,gallade,Psychic,Fighting,518,68,125,65,65,115,80,4,FALSE
475,/475_1,gallademega gallade,gallade-mega,Psychic,Fighting,618,68,165,95,65,115,110,4,FALSE
476,/476,probopass,probopass,Rock,Steel,525,60,55,145,75,150,40,4,FALSE
477,/477,dusknoir,dusknoir,Ghost,,525,45,100,135,65,135,45,4,FALSE
478,/478,froslass,froslass,Ice,Ghost,480,70,80,70,80,70,110,4,FALSE
479,/479,rotom,rotom,Electric,Ghost,440,50,50,77,95,77,91,4,FALSE
479,/479_1,rotomheat rotom,rotom-heat,Electric,Fire,520,50,65,107,105,107,86,4,FALSE
479,/479_2,rotomwash rotom,rotom-wash,Electric,Water,520,50,65,107,105,107,86,4,FALSE
479,/479_3,rotomfrost rotom,rotom-frost,Electric,Ice,520,50,65,107,105,107,86,4,FALSE
479,/479_4,rotomfan rotom,rotom-fan,Electric,Flying,520,50,65,107,105,107,86,4,FALSE
479,/479_5,rotommow rotom,rotom-mow,Electric,Grass,520,50,65,107,105,107,86,4,FALSE
480,/480,uxie,uxie,Psychic,,580,75,75,130,75,130,95,4,TRUE
481,/481,mesprit,mesprit,Psychic,,580,80,105,105,105,105,80,4,TRUE
482,/482,azelf,azelf,Psychic,,580,75,125,70,125,70,115,4,TRUE
483,/483,dialga,dialga,Steel,Dragon,680,100,120,120,150,100,90,4,TRUE
484,/484,palkia,palkia,Water,Dragon,680,90,120,100,150,120,100,4,TRUE
485,/485,heatran,heatran,Fire,Steel,600,91,90,106,130,106,77,4,TRUE
486,/486,regigigas,regigigas,Normal,,670,110,160,110,80,110,100,4,TRUE
487,/487,giratinaaltered forme,giratina-altered,Ghost,Dragon,680,150,100,120,100,120,90,4,TRUE
487,/487_1,giratinaorigin forme,giratina-origin,Ghost,Dragon,680,150,120,100,120,100,90,4,TRUE
488,/488,cresselia,cresselia,Psychic,,600,120,70,120,75,130,85,4,FALSE
489,/489,phione,phione,Water,,480,80,80,80,80,80,80,4,FALSE
490,/490,manaphy,manaphy,Water,,600,100,100,100,100,100,100,4,FALSE
491,/491,darkrai,darkrai,Dark,,600,70,90,90,135,90,125,4,TRUE
492,/492,shayminland forme,shaymin-land,Grass,,600,100,100,100,100,100,100,4,TRUE
492,/492_1,shayminsky forme,shaymin-sky,Grass,Flying,600,100,103,75,120,75,127,4,TRUE
493,/493,arceus,arceus,Normal,,720,120,120,120,120,120,120,4,TRUE
494,/494,victini,victini,Psychic,Fire,600,100,100,100,100,100,100,5,TRUE
495,/495,snivy,snivy,Grass,,308,45,45,55,45,55,63,5,FALSE
496,/496,servine,servine,Grass,,413,60,60,75,60,75,83,5,FALSE
497,/497,serperior,serperior,Grass,,528,75,75,95,75,95,113,5,FALSE
498,/498,tepig,tepig,Fire,,308,65,63,45,45,45,45,5,FALSE
499,/499,pignite,pignite,Fire,Fighting,418,90,93,55,70,55,55,5,FALSE
500,/500,emboar,emboar,Fire,Fighting,528,110,123,65,100,65,65,5,FALSE
501,/501,oshawott,oshawott,Water,,308,55,55,45,63,45,45,5,FALSE
502,/502,dewott,dewott,Water,,413,75,75,60,83,60,60,5,FALSE
503,/503,samurott,samurott,Water,,528,95,100,85,108,70,70,5,FALSE
504,/504,patrat,patrat,Normal,,255,45,55,39,35,39,42,5,FALSE
505,/505,watchog,watchog,Normal,,420,60,85,69,60,69,77,5,FALSE
506,/506,lillipup,lillipup,Normal,,275,45,60,45,25,45,55,5,FALSE
507,/507,herdier,herdier,Normal,,370,65,80,65,35,65,60,5,FALSE
508,/508,stoutland,stoutland,Normal,,500,85,110,90,45,90,80,5,FALSE
509,/509,purrloin,purrloin,Dark,,281,41,50,37,50,37,66,5,FALSE
510,/510,liepard,liepard,Dark,,446,64,88,50,88,50,106,5,FALSE
511,/511,pansage,pansage,Grass,,316,50,53,48,53,48,64,5,FALSE
512,/512,simisage,simisage,Grass,,498,75,98,63,98,63,101,5,FALSE
513,/513,pansear,pansear,Fire,,316,50,53,48,53,48,64,5,FALSE
514,/514,simisear,simisear,Fire,,498,75,98,63,98,63,101,5,FALSE
515,/515,panpour,panpour,Water,,316,50,53,48,53,48,64,5,FALSE
516,/516,simipour,simipour,Water,,498,75,98,63,98,63,101,5,FALSE
517,/517,munna,munna,Psychic,,292,76,25,45,67,55,24,5,FALSE
518,/518,musharna,musharna,Psychic,,487,116,55,85,107,95,29,5,FALSE
519,/519,pidove,pidove,Normal,Flying,264,50,55,50,36,30,43,5,FALSE
520,/520,tranquill,tranquill,Normal,Flying,358,62,77,62,50,42,65,5,FALSE
521,/521,unfezant,unfezant,Normal,Flying,488,80,115,80,65,55,93,5,FALSE
522,/522,blitzle,blitzle,Electric,,295,45,60,32,50,32,76,5,FALSE
523,/523,zebstrika,zebstrika,Electric,,497,75,100,63,80,63,116,5,FALSE
524,/524,roggenrola,roggenrola,Rock,,280,55,75,85,25,25,15,5,FALSE
525,/525,boldore,boldore,Rock,,390,70,105,105,50,40,20,5,FALSE
526,/526,gigalith,gigalith,Rock,,515,85,135,130,60,80,25,5,FALSE
527,/527,woobat,woobat,Psychic,Flying,313,55,45,43,55,43,72,5,FALSE
528,/528,swoobat,swoobat,Psychic,Flying,425,67,57,55,77,55,114,5,FALSE
529,/529,drilbur,drilbur,Ground,,328,60,85,40,30,45,68,5,FALSE
530,/530,excadrill,excadrill,Ground,Steel,508,110,135,60,50,65,88,5,FALSE
531,/531,audino,audino,Normal,,445,103,60,86,60,86,50,5,FALSE
531,/531_1,audinomega audino,audino-mega,Normal,Fairy,545,103,60,126,80,126,50,5,FALSE
532,/532,timburr,timburr,Fighting,,305,75,80,55,25,35,35,5,FALSE
533,/533,gurdurr,gurdurr,Fighting,,405,85,105,85,40,50,40,5,FALSE
534,/534,conkeldurr,conkeldurr,Fighting,,505,105,140,95,55,65,45,5,FALSE
535,/535,tympole,tympole,Water,,294,50,50,40,50,40,64,5,FALSE
536,/536,palpitoad,palpitoad,Water,Ground,384,75,65,55,65,55,69,5,FALSE
537,/537,seismitoad,seismitoad,Water,Ground,509,105,95,75,85,75,74,5,FALSE
538,/538,throh,throh,Fighting,,465,120,100,85,30,85,45,5,FALSE
539,/539,sawk,sawk,Fighting,,465,75,125,75,30,75,85,5,FALSE
540,/540,sewaddle,sewaddle,Bug,Grass,310,45,53,70,40,60,42,5,FALSE
541,/541,swadloon,swadloon,Bug,Grass,380,55,63,90,50,80,42,5,FALSE
542,/542,leavanny,leavanny,Bug,Grass,500,75,103,80,70,80,92,5,FALSE
543,/543,venipede,venipede,Bug,Poison,260,30,45,59,30,39,57,5,FALSE
544,/544,whirlipede,whirlipede,Bug,Poison,360,40,55,99,40,79,47,5,FALSE
545,/545,scolipede,scolipede,Bug,Poison,485,60,100,89,55,69,112,5,FALSE
546,/546,cottonee,cottonee,Grass,Fairy,280,40,27,60,37,50,66,5,FALSE
547,/547,whimsicott,whimsicott,Grass,Fairy,480,60,67,85,77,75,116,5,FALSE
548,/548,petilil,petilil,Grass,,280,45,35,50,70,50,30,5,FALSE
549,/549,lilligant,lilligant,Grass,,480,70,60,75,110,75,90,5,FALSE
550,/550,basculin,basculin,Water,,460,70,92,65,80,55,98,5,FALSE
551,/551,sandile,sandile,Ground,Dark,292,50,72,35,35,35,65,5,FALSE
552,/552,krokorok,krokorok,Ground,Dark,351,60,82,45,45,45,74,5,FALSE
553,/553,krookodile,krookodile,Ground,Dark,519,95,117,80,65,70,92,5,FALSE
554,/554,darumaka,darumaka,Fire,,315,70,90,45,15,45,50,5,FALSE
555,/555,darmanitanstandard mode,darmanitan-standard,Fire,,480,105,140,55,30,55,95,5,FALSE
555,/555_1,darmanitanzen mode,darmanitan-zen,Fire,Psychic,540,105,30,105,140,105,55,5,FALSE
556,/556,maractus,maractus,Grass,,461,75,86,67,106,67,60,5,FALSE
557,/557,dwebble,dwebble,Bug,Rock,325,50,65,85,35,35,55,5,FALSE
558,/558,crustle,crustle,Bug,Rock,475,70,95,125,65,75,45,5,FALSE
559,/559,scraggy,scraggy,Dark,Fighting,348,50,75,70,35,70,48,5,FALSE
560,/560,scrafty,scrafty,Dark,Fighting,488,65,90,115,45,115,58,5,FALSE
561,/561,sigilyph,sigilyph,Psychic,Flying,490,72,58,80,103,80,97,5,FALSE
562,/562,yamask,yamask,Ghost,,303,38,30,85,55,65,30,5,FALSE
563,/563,cofagrigus,cofagrigus,Ghost,,483,58,50,145,95,105,30,5,FALSE
564,/564,tirtouga,tirtouga,Water,Rock,355,54,78,103,53,45,22,5,FALSE
565,/565,carracosta,carracosta,Water,Rock,495,74,108,133,83,65,32,5,FALSE
566,/566,archen,archen,Rock,Flying,401,55,112,45,74,45,70,5,FALSE
567,/567,archeops,archeops,Rock,Flying,567,75,140,65,112,65,110,5,FALSE
568,/568,trubbish,trubbish,Poison,,329,50,50,62,40,62,65,5,FALSE
569,/569,garbodor,garbodor,Poison,,474,80,95,82,60,82,75,5,FALSE
570,/570,zorua,zorua,Dark,,330,40,65,40,80,40,65,5,FALSE
571,/571,zoroark,zoroark,Dark,,510,60,105,60,120,60,105,5,FALSE
572,/572,minccino,minccino,Normal,,300,55,50,40,40,40,75,5,FALSE
573,/573,cinccino,cinccino,Normal,,470,75,95,60,65,60,115,5,FALSE
574,/574,gothita,gothita,Psychic,,290,45,30,50,55,65,45,5,FALSE
575,/575,gothorita,gothorita,Psychic,,390,60,45,70,75,85,55,5,FALSE
576,/576,gothitelle,gothitelle,Psychic,,490,70,55,95,95,110,65,5,FALSE
577,/577,solosis,solosis,Psychic,,290,45,30,40,105,50,20,5,FALSE
578,/578,duosion,duosion,Psychic,,370,65,40,50,125,60,30,5,FALSE
579,/579,reuniclus,reuniclus,Psychic,,490,110,65,75,125,85,30,5,FALSE
580,/580,ducklett,ducklett,Water,Flying,305,62,44,50,44,50,55,5,FALSE
581,/581,swanna,swanna,Water,Flying,473,75,87,63,87,63,98,5,FALSE
582,/582,vanillite,vanillite,Ice,,305,36,50,50,65,60,44,5,FALSE
583,/583,vanillish,vanillish,Ice,,395,51,65,65,80,75,59,5,FALSE
